,product,uf,volume,year_month,unit
251,GASOLINA C (m3),PIAUÍ,24259.75,2009-01-01,m3
252,GASOLINA C (m3),CEARÁ,53994.5,2009-01-01,m3
253,GASOLINA C (m3),RIO GRANDE DO NORTE,28271.927999999996,2009-01-01,m3
254,GASOLINA C (m3),PARAÍBA,29459.870000000003,2009-01-01,m3
255,GASOLINA C (m3),PERNAMBUCO,52911.670000000006,2009-01-01,m3
256,GASOLINA C (m3),ALAGOAS,14622.243,2009-01-01,m3
257,GASOLINA C (m3),SERGIPE,16827.078385292287,2009-01-01,m3
258,GASOLINA C (m3),BAHIA,79643.75224307581,2009-01-01,m3
259,GASOLINA C (m3),MINAS GERAIS,238776.8074885734,2009-01-01,m3
260,GASOLINA C (m3),ESPÍRITO SANTO,511197.5946141045,2009-01-01,m3
261,GASOLINA C (m3),RIO DE JANEIRO,170050.77800000002,2009-01-01,m3
262,GASOLINA C (m3),SÃO PAULO,551032.4660000004,2009-01-01,m3
263,GASOLINA C (m3),PARANÁ,141648.65199999997,2009-01-01,m3
264,GASOLINA C (m3),SANTA CATARINA,116202.87500000006,2009-01-01,m3
265,GASOLINA C (m3),RIO GRANDE DO SUL,175094.688,2009-01-01,m3
266,GASOLINA C (m3),MATO GROSSO DO SUL,30379.079999999994,2009-01-01,m3
267,GASOLINA C (m3),MATO GROSSO,29287.437999999995,2009-01-01,m3
268,GASOLINA C (m3),GOIÁS,73795.56300000001,2009-01-01,m3
269,GASOLINA C (m3),DISTRITO FEDERAL,64076.0,2009-01-01,m3
270,GASOLINA C (m3),RONDÔNIA,23634.94,2010-01-01,m3
271,GASOLINA C (m3),ACRE,6012.5,2010-01-01,m3
272,GASOLINA C (m3),AMAZONAS,32799.441,2010-01-01,m3
273,GASOLINA C (m3),RORAIMA,85768.4,2010-01-01,m3
274,GASOLINA C (m3),PARÁ,66977.72,2010-01-01,m3
275,GASOLINA C (m3),AMAPÁ,8506.8,2010-01-01,m3
276,GASOLINA C (m3),TOCANTINS,17667.289999999997,2010-01-01,m3
277,GASOLINA C (m3),MARANHÃO,45609.600000000006,2010-01-01,m3
278,GASOLINA C (m3),PIAUÍ,29498.75,2010-01-01,m3
279,GASOLINA C (m3),CEARÁ,68996.897,2010-01-01,m3
280,GASOLINA C (m3),RIO GRANDE DO NORTE,32310.550000000003,2010-01-01,m3
281,GASOLINA C (m3),PARAÍBA,35198.850000000006,2010-01-01,m3
282,GASOLINA C (m3),PERNAMBUCO,72063.63799999999,2010-01-01,m3
283,GASOLINA C (m3),ALAGOAS,22001.41,2010-01-01,m3
284,GASOLINA C (m3),SERGIPE,18730.0,2010-01-01,m3
285,GASOLINA C (m3),BAHIA,108191.36600000002,2010-01-01,m3
286,GASOLINA C (m3),MINAS GERAIS,3677903.7559999996,2010-01-01,m3
287,GASOLINA C (m3),ESPÍRITO SANTO,66391.05,2010-01-01,m3
288,GASOLINA C (m3),RIO DE JANEIRO,151231.798,2010-01-01,m3
289,GASOLINA C (m3),SÃO PAULO,598530.562,2010-01-01,m3
290,GASOLINA C (m3),PARANÁ,152006.113,2010-01-01,m3
291,GASOLINA C (m3),SANTA CATARINA,143637.69100000005,2010-01-01,m3
292,GASOLINA C (m3),RIO GRANDE DO SUL,211339.15999999995,2010-01-01,m3
293,GASOLINA C (m3),MATO GROSSO DO SUL,35423.81,2010-01-01,m3
294,GASOLINA C (m3),MATO GROSSO,31924.669999999995,2010-01-01,m3
295,GASOLINA C (m3),GOIÁS,89270.17199999996,2010-01-01,m3
296,GASOLINA C (m3),DISTRITO FEDERAL,86663.368,2010-01-01,m3
297,GASOLINA C (m3),RONDÔNIA,22519.617,2011-01-01,m3
298,GASOLINA C (m3),ACRE,7931.0,2011-01-01,m3
299,GASOLINA C (m3),AMAZONAS,521355.09700000007,2011-01-01,m3
300,GASOLINA C (m3),RORAIMA,8807.6,2011-01-01,m3
301,GASOLINA C (m3),PARÁ,67818.87,2011-01-01,m3
302,GASOLINA C (m3),AMAPÁ,9579.7,2011-01-01,m3
303,GASOLINA C (m3),TOCANTINS,21280.65,2011-01-01,m3
304,GASOLINA C (m3),MARANHÃO,55803.9,2011-01-01,m3
305,GASOLINA C (m3),PIAUÍ,31479.5,2011-01-01,m3
306,GASOLINA C (m3),CEARÁ,76624.377,2011-01-01,m3
307,GASOLINA C (m3),RIO GRANDE DO NORTE,38472.626,2011-01-01,m3
308,GASOLINA C (m3),PARAÍBA,40603.52,2011-01-01,m3
309,GASOLINA C (m3),PERNAMBUCO,90327.33,2011-01-01,m3
310,GASOLINA C (m3),ALAGOAS,21272.22,2011-01-01,m3
311,GASOLINA C (m3),SERGIPE,23575.508,2011-01-01,m3
312,GASOLINA C (m3),BAHIA,1588825.6979999999,2011-01-01,m3
313,GASOLINA C (m3),MINAS GERAIS,395913.76,2011-01-01,m3
314,GASOLINA C (m3),ESPÍRITO SANTO,59924.134,2011-01-01,m3
315,GASOLINA C (m3),RIO DE JANEIRO,193202.776,2011-01-01,m3
316,GASOLINA C (m3),SÃO PAULO,824087.139,2011-01-01,m3
317,GASOLINA C (m3),PARANÁ,202203.319,2011-01-01,m3
318,GASOLINA C (m3),SANTA CATARINA,160081.945,2011-01-01,m3
319,GASOLINA C (m3),RIO GRANDE DO SUL,223755.739,2011-01-01,m3
320,GASOLINA C (m3),MATO GROSSO DO SUL,43673.6,2011-01-01,m3
321,GASOLINA C (m3),MATO GROSSO,46892.3,2011-01-01,m3
322,GASOLINA C (m3),GOIÁS,121655.146,2011-01-01,m3
323,GASOLINA C (m3),DISTRITO FEDERAL,76108.8,2011-01-01,m3
324,GASOLINA C (m3),RONDÔNIA,26749.079,2012-01-01,m3
